State;Abbreviation;Total Data Analyst Jobs;Average Annual Salary;Lowest 10 Percent Earn;Highest 10 Percent Earn;Location Quotient
Connecticut;CT;821;$79,907;$57,000;$111,000;1.34
New Jersey;NJ;1,729;$82,466;$59,000;$114,000;1.18
Maryland;MD;1,685;$79,828;$57,000;$110,000;1.43
District of Columbia;DC;939;$82,711;$60,000;$114,000;3.02
New York;NY;3,352;$77,475;$55,000;$107,000;1.41
Virginia;VA;2,234;$75,875;$55,000;$104,000;1.28
North Carolina;NC;1,798;$73,317;$53,000;$100,000;1.01
Illinois;IL;2,831;$73,071;$52,000;$101,000;1.28
Rhode Island;RI;288;$71,417;$51,000;$99,000;1.28
New Hampshire;NH;316;$72,371;$51,000;$100,000;0.97
