State;Rank;Index;Grocery;Housing;Utilities;Transportation;Health;Misc.;Abbreviation;state_id
Alabama;4;87.3;96.6;74.5;96.2;87.2;87.8;90.5;AL;1
Alaska;47;125.1;126.3;118.9;148.0;112.0;153.1;115.7;AK;2
Arizona;38;110.5;108.2;108.5;101.1;109.9;93.6;105.6;AZ;3
Arkansas;7;88.5;95.0;71.9;90.7;88.2;96.7;92.6;AR;4
California;51;151.0;112.3;209.7;138.1;105.7;114.9;108.2;CA;5
Colorado;32;102.4;101.8;116.4;88.4;96.2;95.6;99.9;CO;6
Connecticut;39;113.2;102.0;117.2;133.3;107.6;107.4;105.7;CT;7
Delaware;29;99.8;101.4;98.8;99.5;95.7;102.3;97.6;DE;8
Florida;36;104.1;102.0;113.0;99.8;110.5;100.9;101.6;FL;9
Georgia;11;91.3;97.7;80.7;92.8;94.4;92.0;94.7;GA;10
Hawaii;52;188.9;167.0;317.6;143.8;128.7;120.0;124.5;HI;11
Idaho;30;101.1;103.5;109.7;90.8;98.3;97.5;100.3;ID;12
Illinois;16;95.4;96.7;87.3;91.5;101.4;95.4;99.0;IL;13
Indiana;9;90.3;96.7;77.8;94.8;96.8;92.3;95.1;IN;14
Iowa;8;89.1;92.1;74.6;89.5;98.4;92.4;95.1;IA;15
Kansas;3;87.9;91.5;71.4;99.6;92.0;88.6;90.4;KS;16
Kentucky;15;94.5;91.1;76.9;95.5;96.1;95.0;96.5;KY;17
Louisiana;13;92.7;96.2;89.8;97.2;97.4;95.8;94.8;LA;18
Maine;38;113.2;102.0;117.2;133.3;107.6;107.4;114.8;ME;19
Maryland;46;116.2;105.1;141.6;101.4;109.0;107.5;103.6;MD;20
Massachusetts;49;144.5;112.4;235.0;107.3;111.6;114.1;109.9;MA;21
Michigan;12;91.8;92.3;84.5;95.8;99.5;91.8;95.9;MI;22
Minnesota;23;97.0;98.2;91.0;97.9;92.6;109.6;100.9;MN;23
Mississippi;5;87.8;96.1;55.2;90.7;89.7;101.7;93.2;MS;24
Missouri;6;88.5;95.5;77.7;98.5;91.4;89.8;90.0;MO;25
Montana;22;96.7;98.2;91.0;97.9;92.6;109.6;100.9;MT;26
Nebraska;18;95.7;98.3;83.1;93.6;100.0;96.4;97.6;NE;27
Nevada;34;103.9;98.2;114.1;97.0;107.1;101.8;99.4;NV;28
New Hampshire;40;106.0;106.5;103.7;111.8;107.3;115.4;104.7;NH;29
New Jersey;42;116.4;108.5;140.5;103.6;105.5;106.6;107.2;NJ;30
New Mexico;20;96.4;99.3;95.5;93.5;95.4;92.4;98.3;NM;31
New York;47;122.0;116.4;180.8;116.7;130.0;105.8;109.6;NY;32
North Carolina;28;98.5;98.4;92.9;98.8;96.2;100.5;98.2;NC;33
North Dakota;17;94.6;91.5;82.8;92.0;103.2;100.2;97.6;ND;34
Ohio;21;96.5;99.8;82.3;91.3;104.0;97.2;95.5;OH;35
Oklahoma;2;84.3;95.7;71.5;93.7;89.3;95.2;91.4;OK;36
Oregon;43;126.5;107.6;171.5;112.1;121.1;120.8;115.0;OR;37
Pennsylvania;24;98.5;106.4;83.3;106.7;102.7;100.5;102.1;PA;38
Rhode Island;37;109.0;104.0;129.0;118.6;108.3;109.4;106.2;RI;39
South Carolina;27;98.5;97.0;99.7;91.2;95.1;102.9;100.0;SC;40
South Dakota;19;96.1;100.5;78.5;95.3;100.2;100.8;97.5;SD;41
Tennessee;10;90.5;93.7;88.6;88.4;89.1;92.0;94.5;TN;42
Texas;14;92.9;88.9;91.2;103.6;97.4;97.4;93.7;TX;43
Utah;35;102.9;98.1;111.9;91.4;99.9;80.5;101.5;UT;44
Vermont;44;114.7;105.8;128.9;112.8;109.8;111.5;113.1;VT;45
Virginia;31;101.6;91.0;114.6;97.7;97.7;90.5;103.3;VA;46
Washington;45;115.6;108.8;129.9;93.6;132.5;110.7;112.3;WA;47
West Virginia;1;83.8;99.6;57.4;91.5;92.8;101.3;93.0;WV;48
Wisconsin;26;97.0;98.2;91.0;97.9;92.6;109.6;100.9;WI;49
Wyoming;24;97.8;103.0;103.3;88.4;99.0;99.1;98.5;WY;50
United states;100;100;100;100;100;100;100;100;;
